Angle,Intensity
20,776
20.01,751
20.02,702
20.031,707
20.041,732
20.051,776
20.061,712
20.071,733
20.082,826
20.092,723
20.102,769
20.112,708
20.122,700
20.133,741
20.143,744
20.153,731
20.163,728
20.173,758
20.183,734
20.194,775
20.204,767
20.214,746
20.224,740
20.234,747
20.245,705
20.255,671
20.265,757
20.275,766
20.285,776
20.296,740
20.306,759
20.316,705
20.326,740
20.336,753
20.347,722
20.357,791
20.367,656
20.377,722
20.387,704
20.398,739
20.408,721
20.418,721
20.428,727
20.438,738
20.448,707
20.459,684
20.469,705
20.479,731
20.489,691
20.499,727
20.51,679
20.52,770
20.53,742
20.54,713
20.55,766
20.561,715
20.571,701
20.581,735
20.591,729
20.601,713
20.612,739
20.622,762
20.632,763
20.642,669
20.652,714
20.663,674
20.673,745
20.683,693
20.693,706
20.703,691
20.714,696
20.724,719
20.734,689
20.744,699
20.754,714
20.764,693
20.775,721
20.785,661
20.795,700
20.805,731
20.815,703
20.826,707
20.836,661
20.846,741
20.856,737
20.866,709
20.877,657
20.887,753
20.897,678
20.907,748
20.917,680
20.928,690
20.938,693
20.948,682
20.958,651
20.968,739
20.979,668
20.989,638
20.999,695
21.009,717
21.019,621
21.029,634
21.04,659
21.05,674
21.06,662
21.07,680
21.08,716
21.091,639
21.101,696
21.111,674
21.121,681
21.131,684
21.142,706
21.152,648
21.162,635
21.172,700
21.182,671
21.193,686
21.203,681
21.213,659
21.223,692
21.233,653
21.244,701
21.254,663
21.264,731
21.274,643
21.284,652
21.294,671
21.305,678
21.315,690
21.325,666
21.335,660
21.345,661
21.356,629
21.366,652
21.376,657
21.386,622
21.396,707
21.407,594
21.417,648
21.427,641
21.437,630
21.447,638
21.458,624
21.468,654
21.478,637
21.488,654
21.498,625
21.509,689
21.519,628
21.529,632
21.539,660
21.549,646
21.56,654
21.57,685
21.58,657
21.59,624
21.6,674
21.61,674
21.621,635
21.631,644
21.641,661
21.651,663
21.661,631
21.672,629
21.682,641
21.692,678
21.702,633
21.712,612
21.723,621
21.733,651
21.743,639
21.753,650
21.763,591
21.774,608
21.784,667
21.794,637
21.804,648
21.814,686
21.825,642
21.835,608
21.845,671
21.855,644
21.865,565
21.875,629
21.886,668
21.896,639
21.906,644
21.916,587
21.926,629
21.937,578
21.947,652
21.957,679
21.967,634
21.977,628
21.988,625
21.998,651
22.008,630
22.018,625
22.028,591
22.039,598
22.049,621
22.059,647
22.069,662
22.079,595
22.09,628
22.1,598
22.11,616
22.12,644
22.13,619
22.141,604
22.151,576
22.161,595
22.171,632
22.181,610
22.191,611
22.202,600
22.212,579
22.222,599
22.232,589
22.242,620
22.253,622
22.263,586
22.273,651
