Angle,Intensity
20,814
20.0102,809
20.0204,786
20.0306,793
20.0408,779
20.051,795
20.0612,791
20.0714,758
20.0815,792
20.0917,741
20.1019,837
20.1121,829
20.1223,787
20.1325,784
20.1427,749
20.1529,785
20.1631,829
20.1733,792
20.1835,817
20.1937,751
20.2039,779
20.2141,746
20.2242,807
20.2344,753
20.2446,803
20.2548,747
20.265,815
20.2752,775
20.2854,727
20.2956,781
20.3058,794
20.316,789
20.3262,774
20.3364,811
20.3466,828
20.3568,749
20.3669,809
20.3771,731
20.3873,766
20.3975,804
20.4077,726
20.4179,841
20.4281,802
20.4383,838
20.4485,811
20.4587,792
20.4689,778
20.4791,799
20.4893,745
20.4995,796
20.5096,790
20.5198,775
20.53,746
20.5402,725
20.5504,780
20.5606,790
20.5708,769
20.581,730
20.5912,795
20.6014,765
20.6116,757
20.6218,780
20.632,812
20.6422,757
20.6523,775
20.6625,735
20.6727,739
20.6829,727
20.6931,756
20.7033,778
20.7135,719
20.7237,720
20.7339,787
20.7441,737
20.7543,771
20.7645,750
20.7747,778
20.7849,729
20.795,768
20.8052,743
20.8154,747
20.8256,738
20.8358,720
20.846,706
20.8562,761
20.8664,794
20.8766,765
20.8868,746
20.897,798
20.9072,754
20.9174,795
20.9276,775
20.9377,759
20.9479,779
20.9581,764
20.9683,707
20.9785,691
20.9887,753
20.9989,736
21.0091,733
21.0193,777
21.0295,700
21.0397,745
21.0499,753
21.0601,756
21.0703,737
21.0804,727
21.0906,716
21.1008,764
21.111,782
21.1212,701
21.1314,757
21.1416,759
21.1518,720
21.162,729
21.1722,765
21.1824,727
21.1926,716
21.2028,733
21.213,693
21.2231,709
21.2333,717
21.2435,718
21.2537,730
21.2639,705
21.2741,732
21.2843,748
21.2945,712
21.3047,753
21.3149,735
21.3251,713
21.3353,731
21.3455,704
21.3557,710
21.3658,737
21.376,704
21.3862,743
21.3964,689
21.4066,723
21.4168,729
21.427,729
21.4372,700
21.4474,712
21.4576,744
21.4678,751
21.478,705
21.4882,693
21.4984,693
21.5085,726
21.5187,726
21.5289,698
21.5391,678
21.5493,697
21.5595,689
21.5697,677
21.5799,714
21.5901,754
21.6003,706
21.6105,716
21.6207,719
21.6309,752
21.6411,704
21.6512,719
21.6614,677
21.6716,700
21.6818,683
21.692,698
21.7022,712
21.7124,730
21.7226,699
21.7328,664
21.743,698
21.7532,672
21.7634,694
21.7736,709
21.7838,663
21.7939,709
21.8041,728
21.8143,702
21.8245,699
21.8347,692
21.8449,679
21.8551,690
21.8653,690
21.8755,680
21.8857,737
21.8959,679
21.9061,680
21.9163,683
21.9265,718
21.9366,697
21.9468,677
21.957,698
21.9672,676
21.9774,631
21.9876,730
21.9978,689
22.008,682
22.0182,662
22.0284,695
22.0386,689
22.0488,693
22.059,715
22.0692,670
22.0793,635
22.0895,683
22.0997,714
22.1099,685
22.1201,670
22.1303,644
22.1405,702
22.1507,660
22.1609,657
22.1711,679
22.1813,682
22.1915,688
22.2017,666
22.2119,679
22.222,681
22.2322,675
22.2424,694
22.2526,653
22.2628,696
22.273,650
22.2832,607
22.2934,687
22.3036,662
22.3138,661
22.324,688
22.3342,669
22.3444,653
22.3546,650
22.3647,646
22.3749,696
22.3851,650
22.3953,681
22.4055,650
22.4157,651
22.4259,655
22.4361,585
22.4463,659
22.4565,643
22.4667,705
22.4769,662
22.4871,694
22.4973,616
22.5074,668
22.5176,652
22.5278,664
22.538,640
22.5482,713
22.5584,628
22.5686,658
22.5788,653
22.589,615
22.5992,648
22.6094,692
22.6196,655
22.6298,662
22.64,612
22.6501,618
22.6603,642
22.6705,638
22.6807,618
22.6909,634
22.7011,629
22.7113,667
22.7215,672
22.7317,653
22.7419,607
22.7521,635
22.7623,623
22.7725,600
22.7827,604
22.7928,646
22.803,673
22.8132,655
22.8234,593
22.8336,630
22.8438,625
22.854,604
22.8642,624
22.8744,664
22.8846,620
22.8948,604
22.905,626
22.9152,664
22.9254,664
22.9355,642
22.9457,639
22.9559,621
22.9661,598
22.9763,616
22.9865,632
22.9967,645
23.0069,612
23.0171,641
23.0273,600
23.0375,644
23.0477,615
23.0579,610
23.0681,597
23.0782,624
23.0884,629
23.0986,615
23.1088,641
23.119,617
23.1292,647
23.1394,650
23.1496,630
23.1598,650
23.17,647
23.1802,614
23.1904,651
23.2006,646
23.2108,554
23.2209,615
23.2311,604
23.2413,632
23.2515,646
23.2617,597
23.2719,630
23.2821,652
23.2923,589
23.3025,599
23.3127,599
23.3229,600
23.3331,622
23.3433,622
23.3535,625
23.3636,545
23.3738,640
23.384,573
23.3942,586
23.4044,592
23.4146,649
23.4248,570
23.435,574
23.4452,639
23.4554,566
23.4656,575
23.4758,587
23.486,595
23.4962,623
23.5063,587
23.5165,614
23.5267,593
23.5369,655
23.5471,623
23.5573,643
23.5675,624
23.5777,618
23.5879,587
23.5981,579
23.6083,618
23.6185,602
23.6287,628
23.6389,624
23.649,564
23.6592,609
23.6694,610
23.6796,600
23.6898,638
23.7,575
23.7102,533
23.7204,667
23.7306,581
23.7408,611
23.751,592
23.7612,568
23.7714,587
23.7816,630
23.7917,581
23.8019,612
23.8121,618
23.8223,591
23.8325,567
23.8427,616
23.8529,599
23.8631,612
23.8733,591
23.8835,623
23.8937,630
23.9039,618
23.9141,590
23.9243,546
23.9344,609
23.9446,583
23.9548,588
23.965,572
23.9752,625
23.9854,590
23.9956,633
24.0058,605
24.016,552
24.0262,566
24.0364,563
24.0466,582
24.0568,602
24.067,588
24.0771,606
24.0873,581
24.0975,568
24.1077,614
24.1179,603
24.1281,609
24.1383,600
24.1485,597
24.1587,561
24.1689,607
24.1791,616
24.1893,632
24.1995,635
24.2097,610
24.2198,600
24.23,653
24.2402,610
24.2504,615
24.2606,582
24.2708,603
24.281,655
24.2912,641
24.3014,597
24.3116,619
24.3218,639
24.332,587
24.3422,631
24.3524,612
24.3625,630
24.3727,634
24.3829,590
24.3931,611
24.4033,633
24.4135,610
24.4237,578
24.4339,627
24.4441,650
24.4543,606
24.4645,643
24.4747,607
24.4849,613
24.4951,642
24.5052,610
24.5154,599
24.5256,624
24.5358,645
24.546,649
24.5562,613
24.5664,640
24.5766,666
24.5868,597
24.597,636
